oid,fountain_type,fountain_code,dog_friendly,amt,coordinates,open_map_address
233,ברזיה מרובעת,B11,False,,"{'x': 34.76616293468501, 'y': 32.0619899452917}","27, אלרואי, תל אביב - יפו, נוה צדק, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6812509, ישראל"
234,ברזיית עלה,B14,False,,"{'x': 34.796405446188416, 'y': 32.06110556022049}","27, שדרות יד לבנים, יד אליהו, תל אביב - יפו, יד אליהו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6777517, ישראל"
235,קולר,B16,False,,"{'x': 34.786740907153394, 'y': 32.09131793770096}","27, דה האז, הצפון החדש - החלק הצפוני, תל אביב - יפו, הצפון החדש, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6296802, ישראל"
236,קולר,B16,False,,"{'x': 34.796405446188416, 'y': 32.06110556022049}","27, שדרות יד לבנים, יד אליהו, תל אביב - יפו, יד אליהו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6777517, ישראל"
237,ברזית גליל,B10,True,,"{'x': 34.78768040734956, 'y': 32.102158524626425}","28, ש''י עגנון, כוכב הצפון, תל אביב - יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
238,ברזית גליל,B10,False,,"{'x': 34.79158098463789, 'y': 32.05609852658765}","29, יגאל אלון, יד אליהו, תל אביב - יפו, יד אליהו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6775393, ישראל"
239,ברזית גליל,B10,False,,"{'x': 34.76688780020074, 'y': 32.070493222056534}","כרם התימנים, תל אביב - יפו, שבזי, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6560475, ישראל"
240,ברזית גליל,B10,False,,"{'x': 34.775176151103615, 'y': 32.09180753091609}","29, טהון, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6340506, ישראל"
241,ברזית גליל,B10,False,,"{'x': 34.7756115145914, 'y': 32.04418653454419}","30, הקשת, תל אביב - יפו, קרית שלום, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6775393, ישראל"
242,ברזית גליל,B10,False,,"{'x': 34.76360171521484, 'y': 32.05678224849957}","30, הרב מבכרך, פלורנטין, תל אביב - יפו, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6811834, ישראל"
243,ברזיית עלה,B14,False,,"{'x': 34.76507244545028, 'y': 32.06064053850359}","30, שלוש, תל אביב - יפו, נוה צדק, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6812509, ישראל"
244,ברזית גליל,B10,False,,"{'x': 34.77863807376024, 'y': 32.052301307333536}","32, בעל העקדה, תל אביב - יפו, שפירא, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6775393, ישראל"
245,ברזית גליל,B10,True,,"{'x': 34.796706522598654, 'y': 32.11651679460236}","28, טאגור, נוה אביבים וסביבתה, תל אביב - יפו, נווה אביבים, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6946032, ישראל"
